emb_x,emb_y,NoOfAttributes,NoOfClasses,DataSetSize,AttributeType,EntropyLabel,AvgEntrophyFeatures,AvgCorelationBetFeatures,2_6_8_TrainingAccuracy,2_6_8_TestAccuracy,1_5_0_TrainingAccuracy,1_5_0_TestAccuracy,2_6_20_TrainingAccuracy,2_6_20_TestAccuracy,Accuracy,Legal
0.8312806,0.99803305,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.5071944,1
-0.99999976,-0.99999976,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,4.97E-32,0
0.8312806,0.99803305,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.5015282,1
-0.99999976,-0.99999976,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,4.47E-32,0
0.024382092,0.68021464,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.56322294,1
-0.99999976,-0.9999982,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,6.33E-36,0
0.85193104,0.9977565,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.48228768,1
-0.99999976,-0.99999976,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,3.97E-32,0
0.7065822,0.61780375,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.44217536,1
-0.99999976,-0.99999976,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,3.00E-36,0
0.86696607,0.9967529,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.54932106,1
-0.77511203,0.42390785,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,3.42E-08,0
0.76457393,0.15699902,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.4594704,1
-0.99999976,0.99999976,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,9.69E-26,0
0.6114051,0.99699867,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.58982027,1
-0.996796,-0.99847513,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,1.73E-32,0
0.459592,0.7214183,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.51506686,1
-0.06088777,0.3408148,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.000770529,0
0.9019927,0.995633,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.4777868,1
-0.99999976,-0.9999901,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,1.90E-36,0
0.8512864,0.1056301,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.55849016,1
0.7414405,0.94889426,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,8.67E-07,0
0.4497339,0.5888079,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.4891377,1
-0.99999976,-0.99999976,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,8.20E-33,0
0.99711645,0.9285018,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.5088745,1
0.72558993,0.4953909,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.001929812,0
0.5319729,0.28192073,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.54014516,1
-0.99999976,-0.99999774,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,1.40E-32,0
0.6734102,0.9973334,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.5807586,1
-0.99999976,-0.99999976,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,4.64E-32,0
0.8312806,0.99803305,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.52015555,1
-0.99999976,-0.99999976,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,4.67E-36,0
0.7196298,0.9976333,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.540545,1
0.7502547,0.88432044,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,2.32E-07,0
0.98097205,0.9683785,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.4720015,1
0.7277644,-0.11735367,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.001450654,0
0.98097205,0.9683785,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.46048343,1
-0.46773893,-0.76359314,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,7.37E-16,0
0.92030823,0.9948907,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.5186592,1
